demand_MW,nuclear_gen_MW,wind_gen_MW,solar_gen_MW,charge_MW,discharge_MW,imports_MW,peaker_MW,curtail_MW,unserved_MW
610.7262246093428,0,770.0000000000001,0.0,159.2737753906573,0.0,0.0,0.0,0.0,0.0
615.1355136594955,0,624.9309984730914,0.0,9.795484813595976,0.0,0.0,0.0,0.0,0.0
646.173897350751,0,499.17838403346815,0.0,0.0,146.9955133172828,0.0,0.0,0.0,0.0
678.7974024246304,0,577.5571771922378,0.0,0.0,101.24022523239262,0.0,0.0,0.0,0.0
657.8428552443584,0,579.9732335356007,0.0,0.0,77.86962170875768,0.0,0.0,0.0,0.0
668.2965688732122,0,538.4949791371008,0.0,0.0,129.8015897361114,0.0,0.0,0.0,0.0
712.2183323506342,0,663.8201120393511,1.6000666738994307,0.0,46.798153637383734,0.0,0.0,0.0,0.0
698.6797408982851,0,690.1240242526969,3.670760551188669,0.0,4.884956094399513,0.0,0.0,0.0,0.0
672.0828611437012,0,699.9924219617208,5.600414859320678,33.50997567734032,0.0,0.0,0.0,0.0,0.0
687.28002977594,0,790.8328811860314,7.257534652075629,110.81038606216703,0.0,0.0,0.0,0.0,0.0
657.8163935033758,0,747.7781996178268,8.529190395213638,98.49099650966457,0.0,0.0,0.0,0.0,0.0
645.6157614481034,0,924.5624797007905,9.328713016020705,288.27543126870785,0.0,0.0,0.0,0.0,0.0
644.7793675510068,0,828.5719757699987,9.601600166177324,193.39420838516935,0.0,0.0,0.0,0.0,0.0
588.3660109256491,0,899.218272832892,9.329231255852577,320.1814931630955,0.0,0.0,0.0,0.0,0.0
576.5690431631376,0,1053.3453605063416,8.530138065591055,485.30645540879505,0.0,0.0,0.0,0.0,0.0
582.7536661156638,0,884.9196004312907,7.25874424500009,77.76867937345196,0.0,0.0,0.0,231.6559991871751,0.0
561.7881967956034,0,840.7185592260425,5.601659423623341,0.0,0.0,0.0,0.0,284.53202185406246,0.0
574.2278629837158,0,965.1082099423269,3.67178024648198,0.0,0.0,0.0,0.0,394.55212720509303,0.0
546.5795908794355,0,1084.962408027732,1.6006000576858879,0.0,0.0,0.0,0.0,539.9834172059823,0.0
535.2496560648268,0,1050.0048645814486,0.0,0.0,0.0,0.0,0.0,514.7552085166218,0.0
584.8339280333702,0,953.7194044208602,0.0,0.0,0.0,0.0,0.0,368.88547638749003,0.0
561.7812377584389,0,1051.5960496226987,0.0,0.0,0.0,0.0,0.0,489.8148118642598,0.0
575.9572049424266,0,1170.0714041139945,0.0,0.0,0.0,0.0,0.0,594.1141991715679,0.0
562.0229913678639,0,1019.6230469196385,0.0,0.0,0.0,0.0,0.0,457.6000555517745,0.0
591.9200979947435,0,872.3009208956577,0.0,0.0,0.0,0.0,0.0,280.38082290091415,0.0
619.7402036106495,0,892.4118216009191,0.0,0.0,0.0,0.0,0.0,272.6716179902696,0.0
611.9568484291215,0,956.776659594658,0.0,0.0,0.0,0.0,0.0,344.8198111655365,0.0
656.4382536410859,0,913.9389633610801,0.0,0.0,0.0,0.0,0.0,257.50070971999423,0.0
650.5422337948047,0,982.8196298855316,0.0,0.0,0.0,0.0,0.0,332.27739609072694,0.0
667.1161915630248,0,892.6398842429871,0.0,0.0,0.0,0.0,0.0,225.52369267996232,0.0
667.7080708745173,0,649.6585681156978,1.6016667857447833,0.0,16.44783597307469,0.0,0.0,0.0,0.0
720.8846935876542,0,608.1949025540326,3.6746352816708914,0.0,109.0151557519506,0.0,0.0,0.0,0.0
681.3858822668457,0,623.363158946166,5.606637475946783,0.0,52.41608584473295,0.0,0.0,0.0,0.0
654.7913085039439,0,599.7967411666573,7.266001488917589,0.0,47.728565848369044,0.0,0.0,0.0,0.0
683.5277846275267,0,478.53896522143356,8.539614340336678,0.0,196.44920506575642,0.0,0.0,0.0,0.0
630.7597547005978,0,289.7547656727053,9.340631992535128,0.0,331.6643570353574,0.0,0.0,0.0,0.0
644.1188454002734,0,256.18431907956585,9.61440078434591,0.0,378.3201255363616,0.0,0.0,0.0,0.0
587.473670325145,0,382.40758750021934,9.342186558465109,0.0,195.72389626646054,0.0,0.0,0.0,0.0
583.7813829372828,0,542.4761558608955,8.542457070653752,0.0,32.762770005733614,0.0,0.0,0.0,0.0
596.2273628024096,0,686.8708745856445,7.269629909262501,97.91314169249733,0.0,0.0,0.0,0.0,0.0
592.2021826487895,0,599.6398797884882,5.610370800063505,13.048067939762177,0.0,0.0,0.0,0.0,0.0
571.7627936511672,0,478.9369801973571,3.6776940653931103,0.0,89.14811938841694,0.0,0.0,0.0,0.0
559.9092803257249,0,549.1071928880255,1.6032667790510287,0.0,9.198820658648401,0.0,0.0,0.0,0.0
553.8545319925774,0,631.2767979451488,0.0,77.42226595257137,0.0,0.0,0.0,0.0,0.0
535.3264178527992,0,683.0254922146627,0.0,147.6990743618635,0.0,0.0,0.0,0.0,0.0
553.3683031158442,0,461.7924406574793,0.0,0.0,91.57586245836495,0.0,0.0,0.0,0.0
566.8185725773026,0,380.10482267192265,0.0,0.0,186.71374990537993,0.0,0.0,0.0,0.0
605.7033633769322,0,396.2672787689912,0.0,0.0,209.43608460794098,0.0,0.0,0.0,0.0
607.9154266894585,0,469.51495496273577,0.0,0.0,138.40047172672274,0.0,0.0,0.0,0.0
584.9798014503546,0,570.4699911531427,0.0,0.0,14.509810297211859,-1.7763568394002505e-15,0.0,0.0,0.0
639.9667277888327,0,596.5949988143296,0.0,0.0,43.37172897450307,0.0,0.0,0.0,0.0
641.5827810714133,0,642.3048977281807,0.0,0.7221166567674118,0.0,0.0,0.0,0.0,0.0
