demand_MW,nuclear_gen_MW,wind_gen_MW,solar_gen_MW,charge_MW,discharge_MW,imports_MW,peaker_MW,curtail_MW,unserved_MW
610.7262246093428,600,110.00000000000001,0.0,99.27377539065719,0.0,0.0,0.0,0.0,0.0
615.1355136594955,600,89.27585692472735,0.0,74.14034326523188,0.0,0.0,0.0,0.0,0.0
646.173897350751,600,71.31119771906688,0.0,25.13730036831589,0.0,0.0,0.0,0.0,0.0
678.7974024246304,600,82.50816817031968,0.0,3.7107657456892866,0.0,0.0,0.0,0.0,0.0
657.8428552443584,600,82.85331907651438,0.0,25.010463832156006,0.0,0.0,0.0,0.0,0.0
668.2965688732122,600,76.92785416244297,0.0,8.631285289230732,0.0,0.0,0.0,0.0,0.0
712.2183323506342,600,94.83144457705016,0.4000166684748577,0.0,16.986871105109117,0.0,0.0,0.0,0.0
698.6797408982851,600,98.58914632181384,0.9176901377971672,0.8270955613259048,0.0,0.0,0.0,0.0,0.0
672.0828611437012,600,99.99891742310297,1.4001037148301696,29.316159994231953,0.0,0.0,0.0,0.0,0.0
687.28002977594,600,112.97612588371877,1.8143836630189072,27.5104797707977,0.0,0.0,0.0,0.0,0.0
657.8163935033758,600,106.82545708826096,2.1322975988034094,51.14136118368856,0.0,0.0,0.0,0.0,0.0
645.6157614481034,600,132.08035424297006,2.3321782540051763,74.60423221811709,0.0,0.0,0.0,14.192538830754756,0.0
644.7793675510068,600,118.36742510999983,2.400400041544331,0.0,0.0,0.0,0.0,75.98845760053746,0.0
588.3660109256491,600,128.4597532618417,2.332307813963144,0.0,0.0,0.0,0.0,142.42605015015567,0.0
576.5690431631376,600,150.4779086437631,2.132534516397764,0.0,0.0,0.0,0.0,176.0413999970233,0.0
582.7536661156638,600,126.41708577589867,1.8146860612500224,0.0,0.0,0.0,0.0,145.47810572148478,0.0
561.7881967956034,600,120.10265131800608,1.4004148559058351,0.0,0.0,0.0,0.0,159.71486937830855,0.0
574.2278629837158,600,137.87260142033242,0.917945061620495,0.0,0.0,0.0,0.0,164.5626834982371,0.0
546.5795908794355,600,154.9946297182474,0.40015001442147197,0.0,0.0,0.0,0.0,208.8151888532334,0.0
535.2496560648268,600,150.00069494020696,0.0,0.0,0.0,0.0,0.0,214.75103887538012,0.0
584.8339280333702,600,136.24562920298,0.0,0.0,0.0,0.0,0.0,151.41170116960984,0.0
561.7812377584389,600,150.22800708895696,0.0,0.0,0.0,0.0,0.0,188.446769330518,0.0
575.9572049424266,600,167.15305773057062,0.0,0.0,0.0,0.0,0.0,191.19585278814395,0.0
562.0229913678639,600,145.66043527423406,0.0,0.0,0.0,0.0,0.0,183.6374439063701,0.0
591.9200979947435,600,124.61441727080825,0.0,0.0,0.0,0.0,0.0,132.69431927606468,0.0
619.7402036106495,600,127.48740308584559,0.0,0.0,0.0,0.0,0.0,107.74719947519611,0.0
611.9568484291215,600,136.682379942094,0.0,0.0,0.0,0.0,0.0,124.72553151297257,0.0
656.4382536410859,600,130.56270905158286,0.0,0.0,0.0,0.0,0.0,74.12445541049692,0.0
650.5422337948047,600,140.40280426936167,0.0,0.0,0.0,0.0,0.0,89.860570474557,0.0
667.1161915630248,600,127.51998346328388,0.0,0.0,0.0,0.0,0.0,60.40379190025908,0.0
667.7080708745173,600,92.8083668736711,0.4004166964361958,0.0,0.0,0.0,0.0,25.500712695589982,0.0
720.8846935876542,600,86.88498607914752,0.9186588204177228,0.0,33.08104868808891,0.0,0.0,0.0,0.0
681.3858822668457,600,89.05187984945229,1.4016593689866959,9.067656951593221,0.0,0.0,0.0,0.0,0.0
654.7913085039439,600,85.6852487380939,1.8165003722293973,28.52444383032605,0.0,0.0,0.0,4.185996776053344,0.0
683.5277846275267,600,68.36270931734765,2.1349035850841696,0.0,13.03017172509476,0.0,0.0,0.0,0.0
630.7597547005978,600,41.39353795324361,2.335157998133782,12.968941250779608,0.0,0.0,0.0,0.0,0.0
644.1188454002734,600,36.59775986850941,2.4036001960864777,0.0,5.117485335677429,0.0,0.0,0.0,0.0
587.473670325145,600,54.62965535717419,2.335546639616277,7.653396318279647,0.0,0.0,0.0,61.83813535336583,0.0
583.7813829372828,600,77.49659369441363,2.135614267663438,0.0,0.0,0.0,0.0,95.85082502479418,0.0
596.2273628024096,600,98.12441065509208,1.8174074773156252,0.0,0.0,0.0,0.0,103.71445532999815,0.0
592.2021826487895,600,85.66283996978403,1.4025927000158762,0.0,0.0,0.0,0.0,94.86325002101046,0.0
571.7627936511672,600,68.41956859962245,0.9194235163482776,0.0,0.0,0.0,0.0,97.57619846480361,0.0
559.9092803257249,600,78.44388469828935,0.40081669476275716,0.0,0.0,0.0,0.0,118.93542106732718,0.0
553.8545319925774,600,90.18239970644983,0.0,0.0,0.0,0.0,0.0,136.32786771387237,0.0
535.3264178527992,600,97.57507031638039,0.0,0.0,0.0,0.0,0.0,162.24865246358115,0.0
553.3683031158442,600,65.97034866535418,0.0,0.0,0.0,0.0,0.0,112.60204554950997,0.0
566.8185725773026,600,54.300688953131804,0.0,0.0,0.0,0.0,0.0,87.48211637582926,0.0
605.7033633769322,600,56.60961125271303,0.0,0.0,0.0,0.0,0.0,50.90624787578088,0.0
607.9154266894585,600,67.07356499467653,0.0,0.0,0.0,0.0,0.0,59.15813830521802,0.0
584.9798014503546,600,81.49571302187752,0.0,0.0,0.0,0.0,0.0,96.5159115715229,0.0
639.9667277888327,600,85.22785697347567,0.0,0.0,0.0,0.0,0.0,45.26112918464298,0.0
